Numbers,Letters,Colours,Shapes,Control,Total
0.666666667,0,0.666666667,1,0.375,0.583333333
0.333333333,0.333333333,0.666666667,1,0.5,0.583333333
0.333333333,0,0.333333333,0.666666667,0.125,0.333333333
0.666666667,0.333333333,1,1,0.5,0.75
0,0.333333333,1,0.333333333,0.375,0.416666667
1,0.666666667,0.666666667,1,0.5,0.833333333
0.666666667,0.666666667,0.333333333,0,0.25,0.416666667
0.666666667,1,0.333333333,1,0.75,0.75
1,0.666666667,0.666666667,0,0.625,0.583333333
0.666666667,0.666666667,0.333333333,0.333333333,0.375,0.5
1,1,0.333333333,0.333333333,0.625,0.666666667
0,0,0,0.333333333,0,0.083333333
1,1,0.333333333,0.666666667,0.5,0.75
1,0.666666667,0.333333333,0.333333333,0.5,0.583333333
0.333333333,0.333333333,1,0.333333333,0.25,0.5
1,0.333333333,0.666666667,0,0.5,0.5
1,0.333333333,0.333333333,0.333333333,0.75,0.5
1,0.333333333,0.666666667,0,0.75,0.5
0.666666667,0.333333333,0.333333333,0.333333333,0.375,0.416666667
0,0.333333333,0.666666667,1,0.375,0.5
0,0.666666667,0.333333333,0.666666667,0.25,0.416666667
0.666666667,0.333333333,0,0.333333333,0.125,0.333333333
1,1,0.333333333,0.333333333,0.625,0.666666667
0.333333333,0.666666667,0.666666667,0.333333333,0.375,0.5
1,0.666666667,1,0,0.5,0.666666667
1,0,0.333333333,0.333333333,0.625,0.416666667
1,0.333333333,0.666666667,0.666666667,0.875,0.666666667
0.666666667,0.666666667,0,0.333333333,0.25,0.416666667
0.666666667,1,0.666666667,0,0.625,0.583333333
0.666666667,0.666666667,0.666666667,0,0.625,0.5
0.666666667,0,0.666666667,0.666666667,0.375,0.5
1,0,0,0.333333333,0.5,0.333333333
0.333333333,0,0.333333333,1,0.125,0.416666667
0.666666667,0.666666667,0.333333333,1,0.625,0.666666667
0.666666667,0.666666667,0.666666667,0.666666667,0.5,0.666666667
1,1,0,0.666666667,0.375,0.666666667
1,0,0,0,0.25,0.25
0.333333333,0,0,0,0.125,0.083333333
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0.333333333,0.5,0.583333333
1,1,1,1,0.875,1
0.333333333,1,0.666666667,1,0.375,0.75
1,0.333333333,1,0.666666667,0.625,0.75
1,0.666666667,1,0.666666667,0.625,0.833333333
0.666666667,0.333333333,0,0,0.25,0.25
1,0.666666667,1,1,0.625,0.916666667
0.333333333,1,1,0.666666667,0.625,0.75
0.666666667,0.666666667,0.333333333,0.333333333,0.375,0.5
1,0.666666667,0.666666667,0.333333333,0.625,0.666666667
0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333
0.333333333,0.666666667,0,0.666666667,0.375,0.416666667
0.333333333,1,1,1,0.75,0.833333333
1,1,1,0.666666667,0.875,0.916666667
1,0.666666667,0.333333333,0.666666667,0.75,0.666666667
0.666666667,0.666666667,0.666666667,0.666666667,0.5,0.666666667
0.666666667,1,0,0.666666667,0.5,0.583333333
1,1,0.333333333,1,0.75,0.833333333
0.333333333,1,0.666666667,0.333333333,0.375,0.583333333
0.666666667,0,0.333333333,0.333333333,0.375,0.333333333
1,1,1,1,1,1
0.666666667,0,0.333333333,0,0.375,0.25
0.666666667,1,0.333333333,0.333333333,0.625,0.583333333
1,0.333333333,1,0.666666667,0.75,0.75
0.666666667,0.333333333,1,0.333333333,0.375,0.583333333
1,0.666666667,1,0.333333333,0.75,0.75
0.333333333,0,0.333333333,0.666666667,0.5,0.333333333
0.333333333,0.333333333,0.666666667,0.333333333,0.5,0.416666667
1,0.666666667,0.666666667,1,0.625,0.833333333
1,0.666666667,0,0.666666667,0.5,0.583333333
0.666666667,0.333333333,0.666666667,0.666666667,0.5,0.583333333
0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.333333333
1,0.666666667,0.333333333,0.333333333,0.375,0.583333333
0.666666667,1,1,0.333333333,0.5,0.75
1,0.333333333,1,0.333333333,0.5,0.666666667
1,0.333333333,0.333333333,0.333333333,0.375,0.5
1,1,0.333333333,1,0.625,0.833333333
1,0.666666667,0.666666667,1,0.75,0.833333333
